Batch ID,Title,Client Batch ID,Client Number,Client Name,SDG Received Date/Time,Incubation Date/Time
B-1144,1119201555FL,1119201555FL,NAL20-209,Thomas W. Loudon,11/19/2020 15:55,11/19/2020 16:15
B-1145,1123201142FL,1123201142FL,NAL15-023,Accutek Home Inspections,11/23/2020 11:42,11/23/2020 15:56
B-1146,1123201331FL,1123201331FL,NAL19-034,Revolution Farms,11/23/2020 13:31,11/23/2020 15:56
B-1147,1124200843FL,1124200843FL,NAL15-023,Accutek Home Inspections,11/24/2020 8:43,11/24/2020 15:55
B-1148,1124200846FL,1124200846FL,NAL15-023,Accutek Home Inspections,11/24/2020 8:46,11/24/2020 15:55
B-1149,1124201037FL,1124201037FL,NAL12-001,Bronson Wellness Center-South Haven,11/24/2020 10:37,11/24/2020 15:55
B-1150,1124201559FL,1124201559FL,NAL16-026,Casco United Methodist Church,11/24/2020 15:59,11/24/2020 16:03
B-1151,1124201638FL,1124201638FL,NAL20-209,Thomas W. Loudon,11/24/2020 16:38,11/25/2020 11:30
B-1152,1130201325FL,1130201325FL,NAL19-034,Revolution Farms,11/30/2020 13:25,11/30/2020 15:57
B-1153,1130201442FL,1130201442FL,NAL16-194,Van Buren Conservation District,11/30/2020 14:42,11/30/2020 16:04
B-1154,1130201447FL,1130201447FL,NAL17-202,Country Fare Restaurant,11/30/2020 14:47,11/30/2020 15:57
B-1155,1123201543FL,1123201543FL,NAL18-036,Waypost Beer,11/23/2020 15:43,11/24/2020 11:30
B-1156,1201201008FL,1201201008FL,NAL15-023,Accutek Home Inspections,12/1/2020 10:08,12/1/2020 15:56
B-1157,1201201053FL,1201201053FL,NAL16-034,Mr. Grocery,12/1/2020 10:53,12/1/2020 15:56
B-1158,1201201056FL,1201201056FL,NAL20-170,Quick Way Liquor LLC,12/1/2020 10:56,12/1/2020 15:56
B-1159,1201201420FL,1201201420FL,NAL15-106,True Blue Farms,12/1/2020 14:20,12/1/2020 15:56
B-1160,1201201423FL,1201201423FL,NAL16-194,Van Buren Conservation District,12/1/2020 14:23,12/1/2020 16:04
B-1161,1203201214FL,1203201214FL,NAL20-209,Thomas W. Loudon,12/3/2020 12:14,12/3/2020 16:16
B-1162,1203201545FL,1203201545FL,NAL16-102,What Not Inn,12/3/2020 15:45,12/3/2020 16:16
B-1163,1203201546FL,1203201546FL,NAL17-085,Glenn Development Co.,12/3/2020 15:46,12/3/2020 16:16
B-1164,1203201555FL,1203201555FL,NAL15-148,Burnette Foods ,12/3/2020 15:55,12/3/2020 16:16
B-1165,1204201234FL,1204201234FL,NAL16-052,Heater Farms LLC,12/4/2020 12:34,12/4/2020 16:28
B-1166,1204201448FL,1204201448FL,NAL17-132,Phoenix Country Market,12/4/2020 14:48,12/4/2020 16:28
B-1167,1207200853FL,1207200853FL,NAL15-023,Accutek Home Inspections,12/7/2020 8:53,12/7/2020 15:43
B-1168,1207200942FL,1207200942FL,NAL15-161,Stocchiero Farms,12/7/2020 9:42,12/7/2020 15:43
B-1169,1207201044FL,1207201044FL,NAL17-088,The Glenn Store,12/7/2020 10:44,12/7/2020 15:43
B-1170,1207201458FL,1207201458FL,NAL19-034,Revolution Farms,12/7/2020 14:58,12/7/2020 15:43
B-1171,1209200955FL,1209200955FL,NAL16-193,San Felipe de Jesus Catholic,12/9/2020 9:55,12/9/2020 15:44
B-1172,1209201011FL,1209201011FL,NAL15-104,Intercare,12/9/2020 10:11,12/9/2020 15:44
B-1173,1209201155FL,1209201155FL,NAL16-165,Pullman Bible Church,12/9/2020 11:55,12/9/2020 15:44
B-1174,1209201212FL,1209201212FL,NAL20-218,Brock Payne,12/9/2020 12:12,12/9/2020 15:44
B-1175,1210201353FL,1210201353FL,NAL15-023,Accutek Home Inspections,12/10/2020 13:53,12/10/2020 15:48
B-1176,1211201419FL,1211201419FL,NAL15-023,Accutek Home Inspections,12/11/2020 14:19,12/11/2020 16:00
B-1177,1214201205FL,1214201205FL,NAL16-034,Mr. Grocery,12/14/2020 12:05,12/14/2020 15:55
B-1178,1214201333FL,1214201333FL,NAL15-167,Sill Farms Market,12/14/2020 13:33,12/14/2020 15:55
B-1179,1214201507FL,1214201507FL,NAL19-034,Revolution Farms,12/14/2020 15:07,12/14/2020 16:00
B-1180,1214201512FL,1214201512FL,NAL19-034,Revolution Farms,12/14/2020 15:12,12/14/2020 15:55
B-1181,1215200959FL,1215200959FL,NAL15-023,Accutek Home Inspections,12/15/2020 9:59,12/15/2020 15:56
B-1182,1215201418FL,1215201418FL,NAL17-058,Maria's Lone Star Home Pub,12/15/2020 14:18,12/15/2020 15:56
B-1183,1216200937FL,1216200937FL,NAL16-154,Pizza Plus,12/16/2020 9:37,12/16/2020 15:57
B-1184,1216201205FL,1216201205FL,NAL18-201,Camp Kidwell,12/16/2020 12:05,12/16/2020 15:57
B-1185,1216201540FL,1216201540FL,NAL15-023,Accutek Home Inspections,12/16/2020 15:40,12/16/2020 15:57
B-1186,1217201106FL,1217201106FL,NAL18-144,Schooner Dept,12/17/2020 11:06,12/17/2020 15:47
B-1187,1217201528FL,1217201528FL,NAL18-061,Jack Traughber,12/17/2020 15:28,12/17/2020 15:47
B-1188,1214201610FL,1214201610FL,NAL20-218,Brock Payne,12/14/2020 16:10,12/15/2020 15:59
B-1189,1218200803FL,1218200803FL,NAL17-028,Hop & Vine Inn,12/18/2020 8:03,12/18/2020 16:10
B-1190,1218201009FL,1218201009FL,NAL12-001,Bronson Wellness Center-South Haven,12/18/2020 10:09,12/18/2020 16:10
B-1191,1218201333FL,1218201333FL,NAL16-189,Grace Apostolic Tabernacle,12/18/2020 13:33,12/18/2020 16:10
B-1192,1221201117FL,1221201117FL,NAL16-026,Casco United Methodist Church,12/21/2020 11:17,12/21/2020 16:00
B-1193,1221201145FL,1221201145FL,NAL16-154,Pizza Plus,12/21/2020 11:45,12/22/2020 10:30
B-1194,1222201134FL,1222201134FL,NAL15-161,Stocchiero Farms,12/22/2020 11:34,12/22/2020 16:07
B-1195,1222201624FL,1222201624FL,NAL19-097,Dhillon Gas,12/22/2020 16:24,12/22/2020 16:28
B-1196,1223201247FL,1223201247FL,NAL16-189,Grace Apostolic Tabernacle,12/23/2020 12:47,12/23/2020 16:00
B-1197,1223201344FL,1223201344FL,NAL20-226,Jason Assink,12/23/2020 13:44,12/23/2020 16:00
B-1198,1228201412FL,1228201412FL,NAL19-034,Revolution Farms,12/28/2020 14:12,12/28/2020 15:55
B-1199,1228201414FL,1228201414FL,NAL19-034,Revolution Farms,12/28/2020 14:14,12/28/2020 15:55
B-1200,0104211111FL,0104211111FL,NAL15-146,Lakewood Beach Co.,1/4/2021 11:11,1/4/2021 16:30
B-1201,0104211222FL,0104211222FL,NAL18-044,Sister Lakes,1/4/2021 12:22,1/4/2021 16:30
B-1202,0104211235FL,0104211235FL,NAL17-132,Phoenix Country Market,1/4/2021 12:35,1/5/2021 8:30
B-1203,0104211257FL,0104211257FL,NAL19-034,Revolution Farms,1/4/2021 12:57,1/4/2021 16:30
B-1204,0105211102FL,0105211102FL,NAL15-085,Stokes Homestead,1/5/2021 10:49,1/5/2021 16:25
B-1205,0106211305FL,0106211305FL,NAL16-059,Glenn Community Center,1/6/2021 13:05,1/6/2021 16:25
B-1206,0106211300FL,0106211300FL,NAL18-011,Ridley Family Sugar Farm,1/6/2021 13:00,1/6/2021 16:25
B-1207,0107211354FL,0107211354FL,NAL15-056,Guardian Home Inspections,1/7/2021 13:54,1/7/2021 16:20
B-1208,0108211115FL,0108211115FL,NAL19-034,Revolution Farms,1/8/2021 11:15,1/8/2021 15:45
B-1209,0108211145FL,0108211145FL,NAL15-039,Glenn Public School,1/8/2021 11:45,1/8/2021 15:45
B-1210,0108211310FL,0108211310FL,NAL21-001,Remax Lakeshore B,1/8/2021 13:10,1/8/2021 15:45
B-1211,0108211455FL,0108211455FL,NAL16-034,Mr. Grocery,1/8/2021 14:55,1/8/2021 15:45
B-1212,0111211439FL,0111211439FL,NAL17-084,"Earl's Meats, LLC",1/11/2021 14:39,1/11/2021 15:51
B-1213,0111211623FL,0111211623FL,NAL16-189,Grace Apostolic Tabernacle,1/11/2021 16:23,1/11/2021 16:27
B-1214,0111211435FL,0111211435FL,NAL19-034,Revolution Farms,1/11/2021 14:35,1/11/2021 15:55
B-1215,0112211212FL,0112211212FL,NAL15-106,True Blue Farms,1/12/2021 12:12,1/12/2021 15:56
B-1216,0112211353FL,0112211353FL,NAL15-149,Kibbie Christian Reformed Church,1/12/2021 13:53,1/12/2021 15:56
B-1217,0113211510FL,0113211510FL,NAL19-027,Meadowbrook Estates,1/13/2021 15:10,1/13/2021 16:48
B-1218,0113211550FL,0113211550FL,NAL11-049B,Lakeshore Homestead,1/13/2021 15:50,1/13/2021 16:48
B-1219,0115211258FL,0115211258FL,NAL12-001,Bronson Wellness Center-South Haven,1/15/2021 12:58,1/15/2021 16:02
B-1220,0115211436FL,0115211436FL,NAL15-056,Guardian Home Inspections,1/15/2021 14:36,1/15/2021 16:02
B-1221,0115211521FL,0115211521FL,NAL21-006,Linda VanDerZee,1/15/2021 15:21,1/15/2021 16:02
B-267,1104191356FL,1104191356FL,NAL15-023,Accutek Home Inspections,11/4/2019 13:56,11/4/2019 16:50
B-268,1104191443FL,1104191443FL,NAL16-161,"Lakeshore Environmental, Inc.",11/4/2019 14:43,11/4/2019 16:50
B-269,1104191447FL,1104191447FL,NAL18-019,Safari Joe's,11/4/2019 14:47,11/4/2019 16:50
B-1307,0323211413FL,0323211413FL,NAL15-023,Accutek Home Inspections,3/23/2021 14:13,3/23/2021 16:11
B-1337,0401210825FL,0401210825FL,NAL21-051,U & I Farms ,4/1/2021 8:25,4/1/2021 16:16
B-1266,0225210803FL,0225210803FL,NAL15-023,Accutek Home Inspections,2/25/2021 8:03,2/25/2021 15:59
B-1267,0225210805FL,0225210805FL,NAL15-023,Accutek Home Inspections,2/25/2021 8:05,2/25/2021 15:59
B-1268,0225211315FL,0225211315FL,NAL18-097,Glenn Vineyard,2/25/2021 13:15,2/25/2021 15:59
B-1269,0226211003FL,0226211003FL,NAL15-023,Accutek Home Inspections,2/26/2021 10:03,2/26/2021 16:10
B-1270,0226211600FL,0226211600FL,NAL16-026,Casco United Methodist Church,2/26/2021 16:00,2/26/2021 16:10
B-1271,0301211327FL,0301211327FL,NAL15-106,True Blue Farms,3/1/2021 13:27,3/1/2021 16:35
B-1272,0302211152FL,0302211152FL,NAL14-037,Cornerstone Ag,3/2/2021 11:52,3/2/2021 15:53
B-1273,0303211005FL,0303211005FL,NAL15-023,Accutek Home Inspections,3/3/2021 10:05,3/3/2021 15:54
